Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
Dr. Shaitan,1960.0,137.5,6.4,10.0,Unknown,hindi
Nadir Khan,1968.0,137.5,6.4,10.0,Unknown,urdu
Apna Sapna Money Money,2006.0,134.0,5.3,1892.0,"Comedy, Musical, Romance",hindi
Aag Aur Sholay,1987.0,137.5,2.2,20.0,Unknown,urdu
Parivar,1956.0,130.0,7.4,21.0,"Comedy, Drama, Family",hindi
Humraah: The Traitor,2008.0,120.0,6.0,32.0,Thriller,hindi
Jacqueline I Am Coming,2019.0,112.0,7.9,16.0,Drama,hindi
A Mighty Heart,2007.0,108.0,6.6,26885.0,"Biography, Drama, History",urdu
Midnight Mail,1939.0,137.0,5.5,21.0,Action,hindi
Raktalekha,1992.0,175.0,6.3,12.0,Drama,bengali
Veedevadandi Babu,1997.0,138.0,5.6,218.0,Comedy,telugu
A Mayalu Timi Lai,2018.0,5.0,8.0,17.0,"Short, Music",nepali
Da Tang Xuan Zang,2016.0,90.0,6.2,379.0,"Biography, History",sanskrit
Sikandar,1976.0,137.5,6.4,10.0,Unknown,hindi
Pehla Qadam,1958.0,137.5,6.4,10.0,Unknown,urdu
Amman Koil Kizhakkaalae,1986.0,141.0,6.9,63.0,Drama,tamil
Shatru,2013.0,139.0,4.5,11.0,"Action, Thriller",kannada
Kamal Khatri Feat. Simpal Kharel: Jaula Relaima,2017.0,5.0,8.0,17.0,"Short, Music",nepali
Zinda Jala Doonga,1988.0,137.0,5.5,21.0,Action,hindi
Tukaram,2012.0,156.0,7.3,231.0,"Biography, Drama, History",marathi
Ramante Edenthottam,2017.0,122.0,6.0,459.0,"Comedy, Drama, Romance",malayalam
Faslah,1974.0,134.5,6.75,52.5,"Crime, Drama, Romance",hindi
Jawani Ki Ghabrahat,1991.0,120.0,6.0,32.0,Thriller,hindi
Anbu Chinnam,1990.0,137.5,6.4,10.0,Unknown,tamil
Naveed,2020.0,57.0,7.5,37.5,Documentary,urdu
Ramudu Bheemudu,1988.0,141.0,6.9,24.0,Drama,telugu
Vaade Kavali,2009.0,133.0,6.2,31.0,Romance,telugu
Aakhri Muqabla,1978.0,137.0,5.5,21.0,Action,hindi
Dracula,1999.0,92.0,4.1,16.0,Horror,hindi
Jahanara,1935.0,137.5,6.4,10.0,Unknown,hindi
Geet,1970.0,142.0,7.1,98.0,"Action, Crime, Musical",hindi
Sej Piya Ki,1985.0,126.0,6.9,24.0,Drama,hindi
Sati Sita Luv Kush,1981.0,126.0,6.9,24.0,Drama,hindi
Nuvvu Vasthavani,2000.0,158.0,6.6,160.0,"Family, Romance",telugu
Madadgaar,1987.0,141.5,5.4,11.0,"Action, Crime, Drama",hindi
Hamra Se Biyah Karba,2003.0,126.0,6.9,24.0,Drama,bhojpuri
Milan Ki Raat,1967.0,136.0,4.4,7.0,"Drama, Romance",hindi
Bhool Bhulaiyan,1933.0,130.0,6.0,6.0,Comedy,hindi
Saajan Chale Sasural,1996.0,134.0,6.0,1312.0,"Comedy, Drama",hindi
Khaleja,2010.0,170.0,7.6,8284.0,"Action, Comedy, Fantasy",telugu
Rogue,2017.0,134.0,5.1,118.0,"Action, Thriller",kannada
Bhale Bullodu,1995.0,126.0,6.9,24.0,Drama,telugu
Jaal,1973.0,130.0,6.6,10.0,Musical,urdu
Yuvakudu,2000.0,145.0,6.9,110.0,Romance,telugu
Goolihatti,2015.0,156.0,6.9,24.0,Drama,kannada
Hamara Ghar,1950.0,137.5,6.4,10.0,Unknown,hindi
Olessia,2019.0,120.0,8.1,40.0,"Drama, Musical",malayalam
Prohibited,2015.0,12.0,8.2,25.0,"Short, Drama, Thriller",urdu
Sunday,2008.0,135.0,5.3,2592.0,"Action, Comedy, Mystery",hindi
Spy in Goa,1966.0,139.0,5.7,134.0,"Action, Thriller",hindi
Time to Dance,2021.0,113.0,1.3,406.0,"Musical, Romance",hindi
Gopi Kishan,1994.0,161.0,5.5,805.0,"Action, Comedy, Drama",hindi
Nigahen: Nagina Part II,1989.0,140.0,5.2,286.0,"Drama, Family, Fantasy",hindi
Dobara Phir Se,2016.0,127.0,6.6,427.0,Drama,urdu
Pagaivan,1997.0,142.0,5.2,82.0,"Action, Comedy",tamil
Red Alert: The War Within,2009.0,120.0,6.4,337.0,"Action, Drama, Thriller",hindi
Adhikar,1938.0,132.0,6.4,10.0,Unknown,hindi
Hasta Melapa,1969.0,126.0,6.9,24.0,Drama,gujarati
Gangavatarana,1984.0,137.5,6.4,10.0,Unknown,telugu
Amnol Sahara,1952.0,126.0,6.9,24.0,Drama,hindi
Waqt Ka Shahenshah,1987.0,137.0,4.9,11.0,Action,hindi
Coffee Bloom,2015.0,90.0,5.9,101.0,Drama,hindi
Laila Majnu,1976.0,140.0,7.2,259.0,"Drama, Musical, Romance",oriya
Vidiyum Munn,2013.0,129.0,7.4,434.0,Thriller,tamil
Olappeeppi,2016.0,121.0,7.6,120.0,Drama,malayalam
Duniya Ke Rangeen Raatein,1997.0,126.0,6.9,24.0,Drama,hindi
Timi Sanga,2018.0,133.0,6.1,11.0,Romance,nepali
Oho Naa Pellanta,1996.0,130.0,6.2,19.0,Comedy,telugu
Ivanu Thumba Orata,2009.0,126.0,6.9,24.0,Drama,kannada
Apnapan,1977.0,133.0,6.5,73.0,"Drama, Romance",hindi
Saath Laakh,1957.0,125.0,6.75,43.5,"Musical, Romance",urdu
Insaan,1966.0,137.5,6.4,10.0,Unknown,urdu
Takrav,2018.0,147.0,5.6,84.0,"Action, Romance",bhojpuri
Highway,2014.0,133.0,7.6,26801.0,"Crime, Drama, Romance",hindi
Pratipaksha,1988.0,108.0,6.9,8.0,"Action, Drama",bengali
Har Raat Naya Khiladi,1990.0,120.0,6.0,32.0,Thriller,hindi
Naanaage Naanillai,2016.0,126.0,6.9,24.0,Drama,tamil
Atma Tarang,1937.0,137.5,6.4,10.0,Unknown,hindi
Dehorokkhi: The Bodyguard,2013.0,167.0,6.8,402.0,Action,bengali
Beru,2005.0,104.0,8.3,19.0,Drama,kannada
